"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2015,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","Pennsylvan",16280,9850,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,"4D SEDAN SE","M",4,"Open","Below","WHITE","Pennsylvan",16650,30095,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014,"4D SEDAN SE","M",4,"Open","Avg","WHITE","Pennsylvan",13650,32353,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2013,"4D SEDAN SE","A",4,"Open","Avg","BLACK","NASHVILL",13705,49020,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","GRAY","ORLANDO",17440,35660,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","RED","ORLANDO",13950,33800,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","SILVER","California",10345,91880,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Above","BLUE","SEATTLE",15280,8045,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Avg","SILVER","ORLANDO",14480,27370,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","SILVER","NASHVILL",10790,77470,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","GRAY","DALLAS",13090,53250,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,"4D SEDAN SE","A",6,"Open","Below","WHITE","DALLAS",7850,137985,1,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010,"4D SEDAN SE","M",4,"Open","Avg","RED","BALTWASH",8020,167880,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","SILVER","DENVER",10510,59200,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
